source,line,label,kind,caption,alt,html_asset,pdf_asset
docs/src/chapters/programming/p-started.tex.in,709,fig:p:started:propcost,semantic-table,Summary of propagation cost functions,Summary of propagation cost functions,,
docs/src/chapters/programming/p-started.tex.in,806,fig:p:started:modify,semantic-table,Value-based modification functions for integer variable views,Value-based modification functions for integer variable views,,
docs/src/chapters/programming/p-started.tex.in,860,fig:p:started:less:better,executable-code,A better constraint and propagator for \?less?,A better constraint and propagator for \?less?,,
docs/src/chapters/programming/p-started.tex.in,986,fig:p:started:macros,semantic-table,Check and fail macros,Check and fail macros,,
docs/src/chapters/programming/p-started.tex.in,1081,fig:p:started:less:best,executable-code,An even better constraint and propagator for \?less?,An even better constraint and propagator for \?less?,,
docs/src/chapters/programming/p-started.tex.in,1142,fig:p:started:nq,executable-code,A propagator for disequality,A propagator for disequality,,
docs/src/chapters/programming/p-started.tex.in,1171,fig:p:started:patterns,semantic-table,Propagator patterns,Propagator patterns,,
docs/src/chapters/programming/p-started.tex.in,1231,fig:p:started:less:concise,executable-code,A concise constraint and propagator for \?less?,A concise constraint and propagator for \?less?,,
docs/src/chapters/programming/p-views.tex.in,83,fig:p:views:minmax,executable-code,Minimum and maximum constraints implemented by a \?Max? propagator,Minimum and maximum constraints implemented by a \?Max? propagator,,
docs/src/chapters/programming/p-views.tex.in,116,fig:p:views:equal,executable-code,Domain equality with and without offset,Domain equality with and without offset,,
docs/src/chapters/programming/p-views.tex.in,193,fig:p:views:orand,executable-code,Disjunction and conjunction from same propagator,Disjunction and conjunction from same propagator,,
docs/src/chapters/programming/p-views.tex.in,216,fig:p:views:intbool,executable-code,Less constraints for both integer and Boolean variables,Less constraints for both integer and Boolean variables,,
docs/src/chapters/search/b-advanced.tex.in,32,fig:b:advanced:assignmin,executable-code,A brancher for \?assignmin?,A brancher for \?assignmin?,,
docs/src/chapters/search/b-advanced.tex.in,67,fig:b:advanced:nogoods,executable-code,Branching for \?nonemin? with no-good support,Branching for \?nonemin? with no-good support,,
docs/src/chapters/search/b-advanced.tex.in,227,fig:b:advanced:views,executable-code,Branchings for \?nonemin? and \?nonemax?,Branchings for \?nonemin? and \?nonemax?,,
docs/src/chapters/search/b-started.tex.in,334,fig:b:started:nonemin,executable-code,A branching and brancher for \?nonemin?,A branching and brancher for \?nonemin?,,
docs/src/chapters/search/b-started.tex.in,446,fig:b:started:improved,executable-code,An improved brancher for \?nonemin?,An improved brancher for \?nonemin?,,
docs/src/chapters/search/b-started.tex.in,484,fig:b:started:sizemin,executable-code,A brancher for \?sizemin?,A brancher for \?sizemin?,,
docs/src/chapters/search/s-engine.tex.in,34,fig:s:engine:design,executable-code,Depth-first search engine,Depth-first search engine,,
docs/src/chapters/search/s-engine.tex.in,53,fig:s:engine:engine,executable-code,Implementation of depth-first search engine,Implementation of depth-first search engine,,
docs/src/chapters/search/s-engine.tex.in,109,fig:s:engine:explore,executable-code,Implementation of exploration,Implementation of exploration,,
docs/src/chapters/search/s-engine.tex.in,127,fig:s:engine:edge,executable-code,Implementation of edges,Implementation of edges,,
docs/src/chapters/search/s-engine.tex.in,147,fig:s:engine:path,executable-code,Implementation of path of edges,Implementation of path of edges,,
docs/src/chapters/search/s-engine.tex.in,194,fig:s:engine:re,executable-code,Implementation of recomputation,Implementation of recomputation,,
docs/src/chapters/search/s-recomputation.tex.in,51,fig:s:re:full,executable-code,Depth-first search using full recomputation,Depth-first search using full recomputation,,
docs/src/chapters/search/s-recomputation.tex.in,84,fig:s:re:full:edge,executable-code,\?Edge? class for depth-first search using full recomputation,\?Edge? class for depth-first search using full recomputation,,
docs/src/chapters/search/s-recomputation.tex.in,217,fig:s:re:ex,legacy-vector-conversion,Example situations during recomputation,Example situations during recomputation,figures/fig-s-re-ex.svg,figures/pdf/fig-s-re-ex.pdf
docs/src/chapters/search/s-recomputation.tex.in,415,fig:s:re:bab,executable-code,Branch-and-bound search using full recomputation,Branch-and-bound search using full recomputation,,
docs/src/chapters/search/s-recomputation.tex.in,455,fig:s:re:lao:ex,legacy-vector-conversion,Last alternative optimization (LAO),Last alternative optimization (LAO),figures/fig-s-re-lao-ex.svg,figures/pdf/fig-s-re-lao-ex.pdf
docs/src/chapters/search/s-recomputation.tex.in,577,fig:s:re:lao,executable-code,Depth-first search using full recomputation and LAO,Depth-first search using full recomputation and LAO,,
docs/src/chapters/search/s-recomputation.tex.in,688,fig:s:re:hybrid,executable-code,Depth-first search using hybrid recomputation,Depth-first search using hybrid recomputation,,
docs/src/chapters/search/s-recomputation.tex.in,839,fig:s:re:adaptive,executable-code,Depth-first search using adaptive recomputation,Depth-first search using adaptive recomputation,,
docs/src/chapters/search/s-started.tex.in,293,fig:s:started:dfsbin,executable-code,Depth-first search for binary choices,Depth-first search for binary choices,,
docs/src/chapters/search/s-started.tex.in,383,fig:s:started:dfs,executable-code,Depth-first search,Depth-first search,,
docs/src/chapters/search/s-started.tex.in,459,fig:s:started:bab,executable-code,Branch-and-bound search,Branch-and-bound search,,
